]0;IPython: disease_forecasting/scriptsData Loaded :  4.533764123916626
Train = 305, Val = 77
Datagens Loaded :  5.340576171875e-05
Training ...
Loss at epoch 10101 = 0.9416355490684509, T = 3
Loss at epoch 10201 = 1.0127211809158325, T = 3
Loss at epoch 10301 = 1.0337198972702026, T = 3
Loss at epoch 10401 = 1.1042917966842651, T = 3
Loss at epoch 10501 = 1.05043363571167, T = 3
Loss at epoch 10601 = 1.0439509153366089, T = 3
Loss at epoch 10701 = 1.0205248594284058, T = 3
Loss at epoch 10801 = 1.0781103372573853, T = 3
Loss at epoch 10901 = 1.0502920150756836, T = 3
Loss at epoch 11001 = 1.12368643283844, T = 3
Loss at epoch 11101 = 1.0788414478302002, T = 3
Loss at epoch 11201 = 1.0817995071411133, T = 3
Loss at epoch 11301 = 1.1153401136398315, T = 3
Loss at epoch 11401 = 1.08851957321167, T = 3
Loss at epoch 11501 = 0.9654572606086731, T = 3
Loss at epoch 11601 = 1.088384747505188, T = 3
Loss at epoch 11701 = 1.1502563953399658, T = 3
Loss at epoch 11801 = 1.026685118675232, T = 3
Loss at epoch 11901 = 1.0421109199523926, T = 3
Loss at epoch 12001 = 0.9900981187820435, T = 3
Loss at epoch 12101 = 1.1000767946243286, T = 3
Loss at epoch 12201 = 1.1307859420776367, T = 3
Loss at epoch 12301 = 1.0315357446670532, T = 3
Loss at epoch 12401 = 1.139620065689087, T = 3
Loss at epoch 12501 = 1.0358754396438599, T = 3
Loss at epoch 12601 = 0.9271141290664673, T = 3
Loss at epoch 12701 = 1.003003716468811, T = 3
Loss at epoch 12801 = 1.0250656604766846, T = 3
Loss at epoch 12901 = 1.1014485359191895, T = 3
Loss at epoch 13001 = 1.07049560546875, T = 3
Loss at epoch 13101 = 0.9997506737709045, T = 3
Loss at epoch 13201 = 1.0185083150863647, T = 3
Loss at epoch 13301 = 1.0235861539840698, T = 3
Loss at epoch 13401 = 1.0216708183288574, T = 3
Loss at epoch 13501 = 1.0230863094329834, T = 3
Loss at epoch 13601 = 1.0583670139312744, T = 3
Loss at epoch 13701 = 1.1158519983291626, T = 3
Loss at epoch 13801 = 0.9910292625427246, T = 3
Loss at epoch 13901 = 1.0175659656524658, T = 3
Loss at epoch 14001 = 1.1024892330169678, T = 3
Loss at epoch 14101 = 1.0396554470062256, T = 3
Loss at epoch 14201 = 1.0196328163146973, T = 3
Loss at epoch 14301 = 1.0791165828704834, T = 3
Loss at epoch 14401 = 0.9746528267860413, T = 3
Loss at epoch 14501 = 1.0610358715057373, T = 3
Loss at epoch 14601 = 1.193138599395752, T = 3
Loss at epoch 14701 = 1.057433009147644, T = 3
Loss at epoch 14801 = 0.8958187103271484, T = 3
Loss at epoch 14901 = 0.9929297566413879, T = 3
Loss at epoch 15001 = 1.0153553485870361, T = 3
Loss at epoch 15101 = 1.0805861949920654, T = 3
Loss at epoch 15201 = 0.9211589694023132, T = 3
Loss at epoch 15301 = 0.9901440143585205, T = 3
Loss at epoch 15401 = 0.9657285213470459, T = 3
Loss at epoch 15501 = 1.1206042766571045, T = 3
Loss at epoch 15601 = 0.9885249733924866, T = 3
Loss at epoch 15701 = 0.9597412347793579, T = 3
Loss at epoch 15801 = 0.9673136472702026, T = 3
Loss at epoch 15901 = 1.1751208305358887, T = 3
Loss at epoch 16001 = 1.0514607429504395, T = 3
Loss at epoch 16101 = 0.9225119352340698, T = 3
Loss at epoch 16201 = 1.0703887939453125, T = 3
Loss at epoch 16301 = 1.0137050151824951, T = 3
Loss at epoch 16401 = 1.0294663906097412, T = 3
Loss at epoch 16501 = 1.1316384077072144, T = 3
Loss at epoch 16601 = 0.9990968704223633, T = 3
Loss at epoch 16701 = 1.016623854637146, T = 3
Loss at epoch 16801 = 1.1657958030700684, T = 3
Loss at epoch 16901 = 0.9811046123504639, T = 3
Loss at epoch 17001 = 1.061258316040039, T = 3
Loss at epoch 17101 = 1.0092641115188599, T = 3
Loss at epoch 17201 = 1.020086407661438, T = 3
Loss at epoch 17301 = 0.9344935417175293, T = 3
Loss at epoch 17401 = 0.9946771264076233, T = 3
Loss at epoch 17501 = 1.155956745147705, T = 3
Loss at epoch 17601 = 1.0338009595870972, T = 3
Loss at epoch 17701 = 1.0303616523742676, T = 3
Loss at epoch 17801 = 1.0017600059509277, T = 3
Loss at epoch 17901 = 1.066432237625122, T = 3
Loss at epoch 18001 = 1.1078519821166992, T = 3
Loss at epoch 18101 = 0.9903523325920105, T = 3
Loss at epoch 18201 = 1.050255537033081, T = 3
Loss at epoch 18301 = 1.0199956893920898, T = 3
Loss at epoch 18401 = 1.023337483406067, T = 3
Loss at epoch 18501 = 0.9885213971138, T = 3
Loss at epoch 18601 = 0.9449523687362671, T = 3
Loss at epoch 18701 = 1.0956264734268188, T = 3
Loss at epoch 18801 = 1.1546015739440918, T = 3
Loss at epoch 18901 = 1.009259581565857, T = 3
Loss at epoch 19001 = 1.1362802982330322, T = 3
Loss at epoch 19101 = 1.0037318468093872, T = 3
Loss at epoch 19201 = 0.9953749179840088, T = 3
Loss at epoch 19301 = 1.0075328350067139, T = 3
Loss at epoch 19401 = 1.0442712306976318, T = 3
Loss at epoch 19501 = 1.2165604829788208, T = 3
Loss at epoch 19601 = 1.028678059577942, T = 3
Loss at epoch 19701 = 1.0280752182006836, T = 3
Loss at epoch 19801 = 1.0596650838851929, T = 3
Loss at epoch 19901 = 1.0467864274978638, T = 3
Loss at epoch 20001 = 1.1158452033996582, T = 3
Loss at epoch 20101 = 1.0711956024169922, T = 3
Loss at epoch 20201 = 1.1038389205932617, T = 3
Loss at epoch 20301 = 1.0813486576080322, T = 3
Loss at epoch 20401 = 1.061173677444458, T = 3
Loss at epoch 20501 = 1.1142748594284058, T = 3
Loss at epoch 20601 = 0.9556326270103455, T = 3
Loss at epoch 20701 = 1.0849568843841553, T = 3
Loss at epoch 20801 = 1.0067254304885864, T = 3
Loss at epoch 20901 = 1.0200328826904297, T = 3
Loss at epoch 21001 = 1.044108271598816, T = 3
Loss at epoch 21101 = 1.055451512336731, T = 3
